mic_id,gene_group,grp,condval,condsd
spectinomycin,ant,swine,0,0
spectinomycin,ant,chicken,0,0
spectinomycin,ant,turkey,0,0
spectinomycin,ant,cat,0,0
streptomycin,ant,chicken,0.9909576877882731,0.29223538295051604
streptomycin,ant,turkey,-0.8854654567317017,0.4792866431889747
streptomycin,ant,cat,-0.03940761273402696,1.0030759964897296
neomycin,aph,cattle,3.150771727007049e-14,1.2740278399981424e-7
neomycin,aph,swine,-4.9097119199038885e-14,1.274027839998194e-7
neomycin,aph,chicken,1.0945721742323887e-14,1.2740278399982162e-7
neomycin,aph,turkey,7.368989907170021e-15,1.2740278399982387e-7
neomycin,aph,cat,-7.2600442383411e-16,1.274027839998269e-7
oxytetracycline,tet,cattle,0.08894325733190209,0.24607386315605606
oxytetracycline,tet,swine,0.856088351697657,0.35409762815743356
